Name,Age,Gender,Hours_Studied,IQ,Physics_Marks,Math_Marks,Chemistry_Marks,Has_Part_Time_Job,Study_Hours_Group
Jason Vargas,19,Male,8.14082056496224,92,87,43,85,True,High
Sandra Wiggins,35,Female,9.825626474274307,112,86,81,54,False,High
Julia Olsen,33,Male,8.83537190109577,131,87,52,57,True,High
Robert Pennington,33,Male,2.4824833601482923,138,70,86,83,False,Low
Kayla Sellers,28,Female,4.419792901323041,90,95,48,83,True,Low
Brenda James,32,Female,2.5805374079530434,141,69,66,59,False,Low
Nancy Heath,27,Female,9.160330617906373,141,83,52,69,True,High
Jose Herrera,27,Female,2.8814031573516052,139,74,67,61,True,Low
Lisa Joseph,39,Male,4.993182750193687,112,98,45,78,False,Low
Wayne Lee,41,Male,1.3653581007925681,110,43,99,96,True,Low
Jessica Hernandez,43,Female,9.14613161441661,117,68,45,80,False,High
Alyssa West,30,Male,4.1763936635127035,89,75,78,94,True,Low
Brittany Reed,38,Male,8.621853722365291,140,81,91,66,True,High
Kimberly Johnson,22,Male,8.508133097519352,121,72,54,42,True,High
Jaclyn Wolfe,45,Male,4.201341661669799,125,82,96,73,False,Low
Alexander Rodriguez,30,Female,4.956886805877232,129,54,87,68,False,Low
Timothy Poole,20,Female,7.569854719533325,119,100,77,57,False,High
James Doyle,23,Female,6.609206830097767,139,92,90,70,False,High
Matthew Marsh,45,Male,6.091523794875785,109,87,91,47,False,High
Amy Bradley,40,Female,7.6037239276889,145,47,97,92,False,High
Alyssa Sanders,29,Female,7.60052251147588,108,55,65,45,True,High
Alicia Michael,35,Female,5.9380412193892855,132,94,72,53,True,High
Brandon Jordan,22,Female,1.2618816217947324,124,52,80,98,False,Low
Michelle Jones,41,Female,6.51433965775819,103,97,98,85,False,High
Scott Nichols MD,26,Male,3.008896100076695,129,84,64,87,False,Low
Shawn Martinez,42,Female,1.7886786877120227,143,79,84,53,False,Low
Maria Gonzalez,25,Female,1.5148857528046014,112,70,71,46,False,Low
Kurt Gonzalez,44,Male,8.811691731684707,137,43,43,89,False,High
Kimberly White,42,Male,8.671168442322006,122,45,62,56,False,High
Taylor Blankenship,36,Female,6.559889275679359,118,77,70,80,True,High
Renee Banks,29,Female,9.033961667808322,135,42,80,62,False,High
Wendy Cameron,27,Female,6.177017256358254,115,53,81,48,False,High
Jacqueline Lopez,28,Female,1.0041735192400258,121,85,59,65,False,Low
Michael Hall,36,Female,2.025720203094703,136,63,92,99,False,Low
George Bridges,37,Male,7.242847462761,128,43,84,55,True,High
Robert Thomas,25,Female,8.240431369181895,121,56,92,69,True,High
Corey Ward,42,Male,3.367331501884446,82,92,89,81,False,Low
James Mclean,32,Male,8.560568142273635,123,54,88,97,False,High
Kevin Franklin,45,Male,7.196376174215471,135,75,71,88,False,High
Mike Cantu,37,Male,6.729921420097081,103,92,100,61,False,High
Michael Johnson,39,Male,6.936395464912177,136,43,95,63,True,High
Richard Leon,29,Female,6.784781263993127,115,100,40,85,True,High
Courtney Cook,33,Female,1.100411829072166,114,60,46,100,True,Low
Anthony Coleman,31,Male,3.011972191307191,81,94,98,40,False,Low
Christina Holt,23,Male,8.806861450697934,87,90,78,47,False,High
Sabrina Estes,40,Female,3.296626423209305,106,59,66,78,True,Low
Dylan Fernandez,35,Male,6.485100501008723,82,89,86,75,False,High
Tyler Figueroa MD,39,Female,4.515786312529724,119,64,85,55,False,Low
Christy Brown,20,Female,9.39495078565251,111,44,96,85,False,High
Adam Hayes,18,Female,5.642466447337206,139,86,75,78,True,High
Kenneth Medina,34,Female,3.0490197091988094,132,94,83,40,True,Low
Alexis Ramirez,29,Male,3.0664132022590884,133,61,78,76,True,Low
Joseph Rocha,41,Female,3.042765423115313,82,90,64,59,True,Low
Lisa Martin,37,Female,6.162061769061926,102,90,64,86,False,High
Cindy Duran,38,Female,4.246337288707788,147,95,72,91,False,Low
Autumn Moore,25,Male,4.396917409538409,97,95,79,48,False,Low
Jessica Bishop,31,Male,6.311163109014823,99,61,42,70,True,High
Brad Kelley,18,Female,5.436118002932749,137,50,47,70,True,High
Tyler Kim,20,Female,2.095324260324043,80,92,94,42,False,Low
James Peterson,28,Male,9.175396556008739,142,66,59,83,False,High
Karen Harrison,36,Female,1.6954784290618223,128,87,46,42,False,Low
Lisa Cruz,29,Female,9.056765302641777,148,53,83,59,True,High
Derek Hughes,34,Female,7.44375135637376,138,89,85,61,True,High
Kevin Murray,19,Female,5.569704673904077,141,55,73,72,False,High
Tanya Carter,20,Female,5.340314149190427,118,92,68,59,False,High
Nicole Peterson,36,Female,7.32399426493258,130,66,84,99,True,High
Melissa Buckley,41,Female,1.194271414936228,113,93,85,90,True,Low
Susan Ellis,38,Male,9.219775094309428,135,45,76,80,False,High
Mark Todd,20,Male,6.2420931636454995,149,86,72,53,True,High
Troy Watson,30,Male,6.3099607986126545,82,93,86,88,True,High
Erin Perry,25,Female,1.716661652387177,143,85,96,98,True,Low
John Rollins,36,Male,3.303116680751642,88,40,46,57,False,Low
Rebecca Zimmerman,35,Female,3.602202416451954,97,56,100,63,True,Low
Christopher Garcia,20,Female,8.431339266112087,87,52,94,56,True,High
Abigail Lee,35,Male,9.40995470757798,111,89,100,77,True,High
Erica Cochran,29,Female,2.01069457563198,83,50,50,88,False,Low
James Daniel MD,27,Male,1.3322267305002162,145,85,43,87,False,Low
Dustin Porter,36,Male,9.603446532474075,140,68,47,61,False,High
Darren Nguyen,35,Female,3.898698344904207,83,45,74,61,False,Low
Travis Baker,39,Female,9.048858229978897,97,92,82,83,False,High
Martin Collins,19,Male,3.62556062422091,141,72,74,60,True,Low
Renee Williams,31,Female,9.662957009169075,138,91,65,70,True,High
Jeffrey Townsend,23,Female,4.078912276412647,112,81,100,54,True,Low
Margaret Case,36,Male,7.887117704683323,107,88,56,42,True,High
Jason Hammond,41,Male,5.931222528521051,81,71,99,40,True,High
Jacob Huffman,18,Female,2.661297872492712,127,65,98,64,False,Low
Jose Gordon,21,Male,9.64354455423484,141,63,53,55,True,High
Karen Warner,24,Female,7.245852629244405,88,88,70,46,False,High
Phillip Vazquez,40,Male,2.9619299800467225,131,64,59,71,True,Low
Miguel Lane,26,Female,6.666494420285911,123,49,64,99,False,High
James Hoover,26,Female,4.808186473757976,150,82,59,42,True,Low
Leslie Santiago,35,Male,3.019746860476374,81,78,97,94,False,Low
Jamie Walker,37,Male,4.374539367390071,147,54,42,55,False,Low
Danny Daugherty,31,Female,7.3784679961661315,99,57,72,43,False,High
Rebekah Butler,28,Male,5.323487806589588,83,53,40,70,False,High
Kathy Alexander,23,Female,1.7749185025635628,123,50,90,75,True,Low
William Cook,38,Female,5.702470102534347,132,45,52,58,False,High
Mackenzie Lawrence,30,Male,8.793442078110026,95,94,50,44,False,High
Jeremy Foster,23,Female,8.627236455902029,138,90,70,50,True,High
Nicole Boyle,30,Male,9.779930084030683,97,71,94,97,False,High
Brandon Silva,35,Male,6.853936540037148,103,90,51,41,False,High
Charles Wilson,44,Female,3.431761820345569,147,85,73,98,False,Low
Sarah Harris,28,Male,8.191834335222676,101,98,64,50,True,High
Douglas Price,44,Female,2.4847422583161167,116,87,86,81,True,Low
Elizabeth Lewis,28,Male,5.485027678645716,82,94,89,86,True,High
Elizabeth Santos,41,Male,1.5606351456214067,101,82,49,45,False,Low
Andrea Bentley,44,Male,2.034469417945342,100,84,92,54,False,Low
Robert Thomas,41,Female,2.8583499564101973,127,80,42,82,False,Low
